146102,-45.1042,-45
146222,-45.9472,-45.9
146312,-46.6227,-45.9
146418,-48.9913,-48.6
146522,-52.8091,-52.2
146612,-53.0632,-52.2
146718,-54.0035,-54
146823,-49.2609,-49.5
146913,-49.1555,-49.5
147018,-50.3285,-49.5
147108,-50.5143,-50.4
147213,-51.0385,-50.4
147318,-50.8157,-50.4
147408,-51.1716,-50.4
147513,-51.1492,-50.4
147619,-52.2915,-52.2
147708,-52.3173,-52.2
147813,-52.0733,-52.2
147919,-51.3617,-52.2
148024,-50.2677,-50.4
148114,-49.6599,-50.4
148219,-48.4931,-48.6
148324,-47.3898,-47.7
148414,-46.7386,-46.8
148519,-46.0354,-46.8
148609,-45.6752,-45.9
148714,-45.2336,-45.9
148820,-44.7572,-45
148909,-44.1646,-45
149000,-43.3936,-44.1
149120,-42.6498,-43.2
149210,-42.1108,-42.3
149315,-41.2887,-41.4
149420,-40.4739,-40.5
149525,-39.6182,-40.5
149615,-38.9499,-39.6
149720,-38.3485,-38.7
149825,-37.7721,-37.8
149915,-37.0744,-37.8
150021,-36.0525,-36.9
150125,-35.1076,-36
150216,-34.1533,-34.2
150321,-32.6793,-33.3
150411,-31.4713,-31.5
150516,-30.2128,-30.6
150621,-29.0078,-29.7
150711,-28.5299,-28.8
150816,-27.6607,-27.9
150921,-26.7162,-27
151011,-25.7342,-26.1
151116,-24.5171,-25.2
151222,-23.8525,-24.3
151326,-22.9456,-23.4
151417,-22.1711,-22.5
151522,-21.3131,-21.6
151627,-20.5584,-20.7
151717,-19.5998,-19.8
151822,-18.2345,-18.9
151912,-17.0327,-17.1
152017,-16.1607,-16.2
152123,-15.1902,-15.3
152212,-14.2215,-14.4
152317,-13.1861,-13.5
152423,-12.1775,-12.6
152512,-11.1043,-11.7
152618,-9.97536,-10.8
152723,-8.83006,-9
152813,-7.80959,-8.1
152918,-6.25314,-6.3
153023,-5.05791,-5.4
153113,-4.05449,-4.5
153218,-3.36324,-3.6
153324,-2.40897,-2.7
153428,-1.3606,-1.8
153518,-0.362793,-0.9
153624,0.716812,1.19209e-07
153713,1.58875,0.9
153819,2.55003,1.8
153924,3.54425,2.7
154014,4.38887,3.6
154119,5.40569,5.4
154224,6.32565,6.3
154314,7.10983,6.3
154419,8.14609,8.1
154525,8.34428,8.1
154614,8.65614,8.1
154719,8.41852,8.1
154825,8.19244,8.1
154915,8.2099,8.1
155020,8.1245,8.1
155125,7.82172,8.1
155215,7.36104,8.1
155320,6.65575,7.2
155425,5.68047,6.3
155515,4.62764,5.4
155606,3.46893,3.6
155726,1.73581,1.8
155815,0.761917,0.9
155920,-0.249619,-1.19209e-07
156026,-0.95163,-0.9
156116,-1.47728,-0.9
156221,-2.14955,-1.8
156326,-2.97023,-2.7
156416,-3.70847,-3.6
156521,-4.59509,-4.5
156626,-5.54721,-5.4
156716,-6.3215,-6.3
156821,-7.18903,-6.3
156927,-8.17886,-8.1
157016,-8.84508,-8.1
157121,-9.61525,-9
157227,-10.2442,-9.9
157317,-10.9466,-10.8
157422,-11.8924,-11.7
157527,-12.4705,-11.7
157617,-12.9062,-12.6
157722,-13.6416,-13.5
157827,-14.5012,-14.4
157917,-15.313,-15.3
158022,-16.0887,-15.3
158112,-16.7936,-16.2
158217,-17.8174,-17.1
158322,-18.5983,-18
158428,-19.046,-18.9
158518,-19.6783,-18.9
158623,-20.9361,-20.7
158728,-21.9455,-21.6
158818,-22.653,-22.5
158923,-23.8125,-23.4
159028,-25.2983,-25.2
159118,-26.5434,-26.1
159223,-28.0312,-27.9
159329,-29.3348,-28.8
159418,-30.4046,-29.7
159523,-31.6491,-31.5
159629,-33.1931,-32.4
159719,-34.6904,-34.2
159824,-36.2579,-36
159929,-37.819,-37.8
160019,-38.9091,-38.7
160124,-40.2341,-39.6
160229,-41.4394,-41.4
160319,-42.6867,-42.3
160424,-44.1273,-44.1
160530,-45.5697,-45
160619,-46.6753,-45.9
160725,-47.8135,-47.7
160830,-48.5732,-47.7
160920,-48.9836,-48.6
161025,-50.0278,-49.5
161130,-51.1531,-50.4
161220,-51.9545,-51.3
161325,-52.9814,-52.2
161431,-53.8322,-53.1
161520,-54.7851,-54
161625,-55.8717,-55.8
161731,-56.8535,-56.7
161820,-57.6129,-57.6
161926,-58.5723,-58.5
162031,-59.2705,-58.5
162121,-59.7166,-59.4
162226,-60.3423,-60.3
162331,-61.0934,-60.3
162421,-61.6647,-61.2
162526,-62.3583,-62.1
162632,-63.8361,-63
162721,-65.1508,-64.8
162826,-66.5556,-65.7
162932,-67.7914,-67.5
163022,-68.5293,-68.4
163127,-69.1727,-68.4
163232,-69.8908,-69.3
163322,-70.5812,-70.2001
163427,-71.5445,-71.1001
163532,-72.8465,-72.0001
163622,-73.9544,-73.8001
